"subject","department","lectureHours","seminarHours","laboratoryHours","noOfTerm","certificationForm"
"Иностранный язык","Л2",0,204,0,"1 - 6","РЭкз"
"Линейная алгебра и аналитическая геометрия","ФН12",136,136,0,"1, 2","Экз"
"Основы информатики","ИУ9",34,0,34,1,"Экз"
"Физическая культура и спорт","ФВ",0,0,0,1,
"Математический анализ","ФН12",204,204,0,"1 - 3","Экз"
"История","СГН1",17,34,0,2,"Зчт"
"Дискретная математика","ИУ9",51,0,0,2,"ДЗчт"
"Языки и методы программирования","ИУ9",34,0,34,2,"Экз"
"Обыкновенные дифференциальные уравнения","ИУ9",68,68,0,"3, 4","Экз"
"Операционные системы","ИУ9",34,0,34,4,"Зчт"
"Комплексный анализ","ФН12",34,34,0,4,"Экз"
"Функциональный анализ","ИУ9",34,34,0,5,"РЭкз"
"Базы данных","ИУ9",34,0,68,"5, 6","КуР"
"Численные методы","ИУ9",34,0,34,6,"Зчт"
"Философия","СГН4",17,34,0,6,"Зчт"
"Теория вероятностей и математическая статистика","ФН12",34,34,0,7,"РЭкз"
"Безопасность жизнедеятельности","Э9",34,17,17,7,"Зчт"
"Физика","ИУ9",34,34,0,7,"Экз"
"Экономика часть 1","ИБМ3",34,17,0,7,"Зчт"
"Методы оптимизации","ИУ9",72,0,72,8,"Зчт"
"Экономика часть 2","ИБМ6",24,0,0,8,"Зчт"
"Алгоритмы и структуры данных","ИУ9",51,0,0,1,"ДЗчт"
"Социология","СГН2",17,34,0,1,"Зчт"
"Компьютерные сети","ИУ9",34,0,34,3,"Экз"
"Низкоуровневое программирование","ИУ9",34,0,34,3,"Экз"
"Правоведение","ЮР",34,17,0,3,"Зчт"
"Алгебра","ИУ9",68,34,0,"3, 4","Экз"
"Политология","СГН3",17,34,0,4,"Зчт"
"Дополнительные главы математического анализа","ФН12",34,34,0,4,"Зчт"
"Алгоритмы компьютерной графики","ИУ9",34,0,34,4,"РЭкз"
"Логика и теория алгоритмов","ФН12",51,17,0,5,"Зчт"
"Теория формальных языков","ИУ9",34,0,34,5,"Экз"
"Разработка параллельных и распределенных программ","ИУ9",34,0,34,5,"Зчт"
"Конструирование компиляторов","ИУ9",34,0,68,6,"Экз"
"Дифференциальные уравнения в частных производных","ФН12",51,34,0,6,"Экз"
"Генерация оптимального кода","ИУ9",34,0,34,6,"Зчт"
"Моделирование","ИУ9",72,0,72,8,"Экз"
"Элективный курс по физической культуре и спорту","ФВ",0,0,0,"1 - 6","Зчт"
"Алгоритмы компьютерной графики. Курсовая работа","ИУ9",0,0,0,5,"КуР"
"Операционные системы. Курсовая работа","ИУ9",0,0,0,5,"КуР"
"Теория игр и исследование операций","ИУ9",34,34,0,5,"Зчт"
"Основы теории Галуа","ИУ9",34,34,0,5,"Зчт"
"Промышленное программирование на функциональных языках","ИУ9",0,17,17,6,"Зчт"
"Объектно-функциональное программирование","ИУ9",0,17,17,6,"Зчт"
"Основы теории колец","ИУ9",17,17,0,6,"Зчт"
"Современные вычислительные методы","ИУ9",17,17,0,6,"Зчт"
"Конструирование компиляторов. Курсовая работа","ИУ9",0,0,0,7,"КуР"
"Численные методы. Курсовая работа","ИУ9",0,0,0,7,"КуР"
"Защита информации","ИУ9",34,0,34,7,"Экз"
"Численные методы линейной алгебры","ИУ9",34,0,34,7,"Экз"
"Защита информации от вредоносного программного обеспечения","ИУ9",34,0,34,7,"Экз"
"Разработка мобильных приложений","ИУ9",34,0,34,7,"Экз"
"Высокопроизводительные вычисления","ИУ9",17,0,34,7,"Зчт"
"Алгоритмы биоинформатики","ИУ9",17,0,34,7,"Зчт"
"Начальный курс французского (сербского, испанского) языка","Л4",,,,,
"Начальный курс немецкого языка","Л4",,,,,
"Базовый курс французского языка","Л4",0,24,0,8,"Зчт"
"Базовый курс немецкого языка","Л4",0,24,0,8,"Зчт"
